((((....)))) 161.80324820231428 0 0
((((...)))). 139.1673831886564 1 0
.((((...)))) 90.37641320719845 1 0
(((....))).. 63.59273357097019 2 0
.(((....))). 52.53886519525418 2 0
(((.....))). 39.84482059983384 1 0
..(((....))) 36.00258625385605 2 0
(((...)))... 23.919223029367537 3 0
(((......))) 23.876767369239793 0 0
.(((.....))) 21.740807122022694 1 0
..(((...))). 20.082898532417058 3 0
.(((...))).. 18.109528669620744 3 0
((....)).... 8.168060240293121 4 0
...(((...))) 6.847257282295868 3 0
...((....)). 6.0640090610801805 3 0
((......)).. 5.833555825356721 2 0
.((....))... 5.071403344252138 4 0
..((....)).. 4.8229871653369365 4 0
.((......)). 4.442274904045515 2 0
((.....))... 4.427035799429574 3 0
..((.....)). 3.362233766643523 3 0
.((.....)).. 2.6425664400682884 3 0
((.......)). 2.440536627812746 1 0
....((....)) 1.6970461353371933 4 0
..((......)) 1.6147787682133283 2 0
...((.....)) 0.7041339906797268 3 0
((........)) 0.6669711855832804 0 0
((.(....).)) 0.45742459365094934 0 2
(.((....)).) 0.3320665538128007 0 2
(.((....))). 0.2857797559103804 1 1
(((....).)). 0.2600857677674975 1 1
(.((...)).). 0.23711504086654178 1 2
((.(....))). 0.22966152473471704 1 1
((((...)).)) 0.1937383701345637 0 1
((.((...)))) 0.17954498900925078 0 1
((.(...).)). 0.1385950554572198 1 2
.((.......)) 0.09522512272442989 1 0
.(.((...)).) 0.049464593534929296 1 2
.((.(...).)) 0.03775924579534022 1 2
(.(....).).. 0.025793181145742118 2 2
.(.(....).). 0.023162573035374657 2 2
(.(.....).). 0.01239230466972161 1 2
(((....)).). 0.007752871200870718 1 1
.(((....).)) 0.007186923707795605 1 1
.((.(....))) 0.004429409718468463 1 1
..(.(....).) 0.00019885986270939054 2 2
(..(....)..) 2.7526208090477924e-05 0 4
